session_date,bar,enter_price,action,take_profit,start_index,end_index,start_time,end_time,length,tp_hit,tp_hit_index,tp_hit_time,exit_price,exit_time,exit_reason,profit,loss,max_drawdown_ticks,max_drawdown_price,max_drawdown_index,max_drawdown_time
2025-05-01,red,98.2875,long,98.45,1,2,2025-05-01 09:31:00-04:00,2025-05-01 09:32:00-04:00,2,1,5.0,2025-05-01 09:35:00-04:00,98.45,2025-05-01 09:35:00-04:00,take_profit,65.00000000000341,0.0,25.0,98.225,3,2025-05-01 09:33:00-04:00
2025-05-02,red,97.9625,long,98.45,1,3,2025-05-02 09:31:00-04:00,2025-05-02 09:33:00-04:00,3,1,87.0,2025-05-02 10:57:00-04:00,98.45,2025-05-02 10:57:00-04:00,take_profit,194.99999999999886,0.0,125.0,97.65,46,2025-05-02 10:16:00-04:00
2025-05-05,red,99.1125,long,99.4,1,2,2025-05-05 09:31:00-04:00,2025-05-05 09:32:00-04:00,2,1,53.0,2025-05-05 10:23:00-04:00,99.4,2025-05-05 10:23:00-04:00,take_profit,115.00000000000341,0.0,194.99999999999886,98.625,28,2025-05-05 09:58:00-04:00
2025-05-06,red,97.775,long,98.175,2,3,2025-05-06 09:32:00-04:00,2025-05-06 09:33:00-04:00,2,1,59.0,2025-05-06 10:29:00-04:00,98.175,2025-05-06 10:29:00-04:00,take_profit,159.9999999999966,0.0,290.0000000000034,97.05,9,2025-05-06 09:39:00-04:00
2025-05-07,green,97.51249999999999,short,97.475,0,1,2025-05-07 09:30:00-04:00,2025-05-07 09:31:00-04:00,2,1,2.0,2025-05-07 09:32:00-04:00,97.475,2025-05-07 09:32:00-04:00,take_profit,14.999999999997726,0.0,75.00000000000568,97.7,2,2025-05-07 09:32:00-04:00
2025-05-08,red,96.7875,long,97.125,0,2,2025-05-08 09:30:00-04:00,2025-05-08 09:32:00-04:00,3,1,11.0,2025-05-08 09:41:00-04:00,97.125,2025-05-08 09:41:00-04:00,take_profit,135.00000000000227,0.0,44.99999999999886,96.675,3,2025-05-08 09:33:00-04:00
2025-05-12,green,99.6,short,99.025,0,4,2025-05-12 09:30:00-04:00,2025-05-12 09:34:00-04:00,5,1,22.0,2025-05-12 09:52:00-04:00,99.025,2025-05-12 09:52:00-04:00,take_profit,229.99999999999545,0.0,110.00000000000227,99.875,8,2025-05-12 09:38:00-04:00
2025-05-13,green,97.9875,short,97.7,1,4,2025-05-13 09:31:00-04:00,2025-05-13 09:34:00-04:00,4,1,23.0,2025-05-13 09:53:00-04:00,97.7,2025-05-13 09:53:00-04:00,take_profit,114.99999999999773,0.0,125.0,98.3,9,2025-05-13 09:39:00-04:00
2025-05-14,red,98.98750000000001,long,99.55,0,2,2025-05-14 09:30:00-04:00,2025-05-14 09:32:00-04:00,3,0,,,98.775,2025-05-14 13:55:00-04:00,session_end,0.0,85.00000000000227,425.0000000000057,97.925,67,2025-05-14 10:37:00-04:00
2025-05-15,red,98.4,long,98.5,0,1,2025-05-15 09:30:00-04:00,2025-05-15 09:31:00-04:00,2,1,2.0,2025-05-15 09:32:00-04:00,98.5,2025-05-15 09:32:00-04:00,take_profit,39.999999999997726,0.0,30.000000000001137,98.325,2,2025-05-15 09:32:00-04:00
2025-05-16,red,100.82499999999999,long,101.025,3,4,2025-05-16 09:33:00-04:00,2025-05-16 09:34:00-04:00,2,1,9.0,2025-05-16 09:39:00-04:00,101.025,2025-05-16 09:39:00-04:00,take_profit,80.00000000000682,0.0,89.99999999999773,100.6,5,2025-05-16 09:35:00-04:00
2025-05-19,red,103.35,long,104.2,0,5,2025-05-19 09:30:00-04:00,2025-05-19 09:35:00-04:00,6,1,59.0,2025-05-19 10:29:00-04:00,104.2,2025-05-19 10:29:00-04:00,take_profit,340.0000000000034,0.0,229.99999999999545,102.775,12,2025-05-19 09:42:00-04:00
2025-05-20,red,102.775,long,103.925,0,7,2025-05-20 09:30:00-04:00,2025-05-20 09:37:00-04:00,8,0,,,103.45,2025-05-20 13:55:00-04:00,session_end,269.99999999999886,0.0,140.0000000000034,102.425,47,2025-05-20 10:17:00-04:00
2025-05-21,green,103.61250000000001,short,103.4,1,2,2025-05-21 09:31:00-04:00,2025-05-21 09:32:00-04:00,2,1,5.0,2025-05-21 09:35:00-04:00,103.4,2025-05-21 09:35:00-04:00,take_profit,85.00000000000227,0.0,14.999999999997726,103.65,3,2025-05-21 09:33:00-04:00
2025-05-22,red,102.0,long,102.5,0,6,2025-05-22 09:30:00-04:00,2025-05-22 09:36:00-04:00,7,1,9.0,2025-05-22 09:39:00-04:00,102.5,2025-05-22 09:39:00-04:00,take_profit,200.0,0.0,50.0,101.875,7,2025-05-22 09:37:00-04:00
2025-05-23,green,101.5375,short,101.4,0,1,2025-05-23 09:30:00-04:00,2025-05-23 09:31:00-04:00,2,1,62.0,2025-05-23 10:32:00-04:00,101.4,2025-05-23 10:32:00-04:00,take_profit,54.99999999999545,0.0,315.0000000000034,102.325,28,2025-05-23 09:58:00-04:00
2025-05-27,red,100.9125,long,101.475,2,8,2025-05-27 09:32:00-04:00,2025-05-27 09:38:00-04:00,7,1,35.0,2025-05-27 10:05:00-04:00,101.475,2025-05-27 10:05:00-04:00,take_profit,225.0,0.0,44.99999999999886,100.8,13,2025-05-27 09:43:00-04:00
2025-05-28,green,102.8875,short,102.45,0,1,2025-05-28 09:30:00-04:00,2025-05-28 09:31:00-04:00,2,1,131.0,2025-05-28 11:42:00-04:00,102.45,2025-05-28 11:42:00-04:00,take_profit,175.0,0.0,334.9999999999966,103.725,19,2025-05-28 09:49:00-04:00
2025-05-29,red,103.0125,long,103.4,0,5,2025-05-29 09:30:00-04:00,2025-05-29 09:35:00-04:00,6,1,12.0,2025-05-29 09:42:00-04:00,103.4,2025-05-29 09:42:00-04:00,take_profit,155.00000000000114,0.0,55.00000000000114,102.875,6,2025-05-29 09:36:00-04:00
2025-05-30,red,102.9875,long,103.3,1,3,2025-05-30 09:31:00-04:00,2025-05-30 09:33:00-04:00,3,1,19.0,2025-05-30 09:49:00-04:00,103.3,2025-05-30 09:49:00-04:00,take_profit,125.0,0.0,44.99999999999886,102.875,5,2025-05-30 09:35:00-04:00
2025-06-02,green,105.4375,short,104.975,2,5,2025-06-02 09:32:00-04:00,2025-06-02 09:35:00-04:00,4,1,32.0,2025-06-02 10:02:00-04:00,104.975,2025-06-02 10:02:00-04:00,take_profit,185.00000000000227,0.0,44.99999999999886,105.55,8,2025-06-02 09:38:00-04:00
2025-06-03,green,104.975,short,104.725,1,3,2025-06-03 09:31:00-04:00,2025-06-03 09:33:00-04:00,3,1,22.0,2025-06-03 09:52:00-04:00,104.725,2025-06-03 09:52:00-04:00,take_profit,100.0,0.0,100.0,105.225,12,2025-06-03 09:42:00-04:00
2025-06-04,green,104.8625,short,104.625,0,1,2025-06-04 09:30:00-04:00,2025-06-04 09:31:00-04:00,2,1,8.0,2025-06-04 09:38:00-04:00,104.625,2025-06-04 09:38:00-04:00,take_profit,94.99999999999886,0.0,135.00000000000227,105.2,6,2025-06-04 09:36:00-04:00
