session,session_date,bar,enter_price,action,take_profit,start_index,end_index,entry_index,start_time,end_time,entry_time,length,tp_hit,tp_hit_index,tp_hit_time,exit_price,exit_time,exit_reason,profit,loss,max_drawdown_ticks,max_drawdown_price,max_drawdown_index,max_drawdown_time
post_rth,2025-01-02,red,2668.0,long,2668.7,0,1,2,2025-01-02 13:30:00-05:00,2025-01-02 13:31:00-05:00,2025-01-02 13:32:00-05:00,2,1,6.0,2025-01-02 13:36:00-05:00,2668.7,2025-01-02 13:36:00-05:00,take_profit,69.99999999998181,0.0,19.99999999998181,2667.8,2,2025-01-02 13:32:00-05:00
post_rth,2025-01-03,green,2655.1,short,2654.8,0,1,2,2025-01-03 13:30:00-05:00,2025-01-03 13:31:00-05:00,2025-01-03 13:32:00-05:00,2,1,4.0,2025-01-03 13:34:00-05:00,2654.8,2025-01-03 13:34:00-05:00,take_profit,29.999999999972715,0.0,30.00000000001819,2655.4,3,2025-01-03 13:33:00-05:00
post_rth,2025-01-06,red,2646.4,long,2648.0,1,3,4,2025-01-06 13:31:00-05:00,2025-01-06 13:33:00-05:00,2025-01-06 13:34:00-05:00,3,0,,,2646.5,2025-01-06 16:49:00-05:00,session_end,9.999999999990905,0.0,270.0000000000273,2643.7,31,2025-01-06 14:01:00-05:00
post_rth,2025-01-07,green,2663.9,short,2663.6,1,2,3,2025-01-07 13:31:00-05:00,2025-01-07 13:32:00-05:00,2025-01-07 13:33:00-05:00,2,1,4.0,2025-01-07 13:34:00-05:00,2663.6,2025-01-07 13:34:00-05:00,take_profit,30.00000000001819,0.0,50.0,2664.4,3,2025-01-07 13:33:00-05:00
post_rth,2025-01-08,green,2674.2,short,2672.9,0,2,3,2025-01-08 13:30:00-05:00,2025-01-08 13:32:00-05:00,2025-01-08 13:33:00-05:00,3,1,15.0,2025-01-08 13:45:00-05:00,2672.9,2025-01-08 13:45:00-05:00,take_profit,129.99999999997272,0.0,80.00000000001819,2675.0,8,2025-01-08 13:38:00-05:00
post_rth,2025-01-09,green,2692.3,short,2690.8,0,3,4,2025-01-09 13:30:00-05:00,2025-01-09 13:33:00-05:00,2025-01-09 13:34:00-05:00,4,1,9.0,2025-01-09 13:39:00-05:00,2690.8,2025-01-09 13:39:00-05:00,take_profit,150.0,0.0,79.99999999997272,2693.1,4,2025-01-09 13:34:00-05:00
post_rth,2025-01-10,green,2714.9,short,2713.6,1,3,4,2025-01-10 13:31:00-05:00,2025-01-10 13:33:00-05:00,2025-01-10 13:34:00-05:00,3,1,5.0,2025-01-10 13:35:00-05:00,2713.6,2025-01-10 13:35:00-05:00,take_profit,130.0000000000182,0.0,59.999999999990905,2715.5,4,2025-01-10 13:34:00-05:00
post_rth,2025-01-13,green,2680.3,short,2679.3,0,2,3,2025-01-13 13:30:00-05:00,2025-01-13 13:32:00-05:00,2025-01-13 13:33:00-05:00,3,1,15.0,2025-01-13 13:45:00-05:00,2679.3,2025-01-13 13:45:00-05:00,take_profit,100.0,0.0,69.99999999998181,2681.0,11,2025-01-13 13:41:00-05:00
post_rth,2025-01-15,green,2718.3,short,2717.5,0,2,3,2025-01-15 13:30:00-05:00,2025-01-15 13:32:00-05:00,2025-01-15 13:33:00-05:00,3,1,5.0,2025-01-15 13:35:00-05:00,2717.5,2025-01-15 13:35:00-05:00,take_profit,80.00000000001819,0.0,29.999999999972715,2718.6,3,2025-01-15 13:33:00-05:00
post_rth,2025-01-16,red,2751.3,long,2751.5,3,4,5,2025-01-16 13:33:00-05:00,2025-01-16 13:34:00-05:00,2025-01-16 13:35:00-05:00,2,1,5.0,2025-01-16 13:35:00-05:00,2751.5,2025-01-16 13:35:00-05:00,take_profit,19.99999999998181,0.0,80.00000000001819,2750.5,5,2025-01-16 13:35:00-05:00
post_rth,2025-01-17,red,2748.5,long,2749.3,3,4,5,2025-01-17 13:33:00-05:00,2025-01-17 13:34:00-05:00,2025-01-17 13:35:00-05:00,2,0,,,2739.9,2025-01-17 16:50:00-05:00,session_end,0.0,859.9999999999909,1250.0,2736.0,163,2025-01-17 16:13:00-05:00
